id,home_team,home_classification,home_conference,home_VoA_rating,away_team,away_classification,away_conference,away_VoA_rating,Proj_Winner,Proj_Margin,win_prob
401860893,Toledo,fbs,Mid-American,-12.3812421079268,San Diego State,fbs,Pac-12,-15.444044254932459,Toledo,5.062802147005659,0.6453532038056928
401860896,UTSA,fbs,American Athletic,-11.296470917393439,Colorado State,fbs,Pac-12,-23.209371408707522,UTSA,13.912900491314083,0.791867092597262
401864512,Akron,fbs,Mid-American,-35.44452021685722,UNLV,fbs,Mountain West,-10.304635556515613,UNLV,23.139884660341608,0.8913818118763008
401866425,Kent State,fbs,Mid-American,-34.428938193684864,Ball State,fbs,Mid-American,-39.3929735909829,Kent State,6.964035397298034,0.6808041841788771
401866642,Sacred Heart,fcs,Coastal Athletic,-2.481833014201743,New Hampshire,fcs,Coastal Athletic,-3.9308801436593415,Sacred Heart,3.4490471294575986,0.613965081397033
401868263,Marist,fcs,Pioneer,-1.3954190288775021,Presbyterian,fcs,Pioneer,4.818342550784037,Presbyterian,4.21376157966154,0.6289416677840958
401867818,Georgetown,fcs,Patriot,-0.19073329415547638,Columbia,fcs,Ivy,-0.09565175480084709,Georgetown,1.9049184606453706,0.5830138666708516
401868024,Lafayette,fcs,Patriot,-0.7155160558843131,Holy Cross,fcs,Patriot,-5.9658825840596945,Lafayette,7.250366528175381,0.6859501973882108
401864576,Kentucky,fbs,SEC,-3.7360442855664924,South Alabama,fbs,Sun Belt,-19.00536561836698,Kentucky,17.269321332800487,0.8342064739688467
401866427,Eastern Michigan,fbs,Mid-American,-13.48361179338973,Lindenwood,fcs,OVC,-15.470514346467002,Eastern Michigan,3.9869025530772717,0.6245406911263843
401866647,Dartmouth,fcs,Ivy,-2.701079589157661,Monmouth,fcs,Coastal Athletic,6.366775406722267,Monmouth,7.067854995879928,0.6826841414485283
