team,conference,CFB_Week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
Houston,Big 12,2,61.94225662308117,114,-14.394342047835462
Colorado,Big 12,2,75.9891885999525,115,-14.570508209214902
Central Michigan,Mid-American,2,67.11539546346727,116,-14.590455582821214
Stanford,ACC,2,77.15381816763754,117,-14.617778736846772
Hawai'i,Mountain West,2,75.11373735937678,118,-15.071114741724337
Wyoming,Mountain West,2,64.66393893911412,119,-15.366831262735202
Massachusetts,FBS Independents,2,75.91114262986632,120,-15.512266024460022
Buffalo,Mid-American,2,69.12533741483205,121,-16.216282106127494
Eastern Michigan,Mid-American,2,71.70996252158791,122,-18.184701462481716
Charlotte,American Athletic,2,72.01516044755637,123,-18.30330049455484
Nevada,Mountain West,2,80.51308441474913,124,-18.41170678720261
UL Monroe,Sun Belt,2,73.1794557855577,125,-18.942450656817464
Florida International,Conference USA,2,78.78503324498429,126,-19.02121466664083
Middle Tennessee,Conference USA,2,63.085129029536105,127,-19.637377614764308
UTEP,Conference USA,2,69.48498530795766,128,-21.69855623403654
New Mexico,Mountain West,2,70.71826945729067,129,-21.77961274627049
Colorado State,Mountain West,2,69.39159302053193,130,-21.905046190595534
Kent State,Mid-American,2,74.20828168595065,131,-27.573591823138948
Western Michigan,Mid-American,2,72.83177513589948,132,-28.79042833820631
Akron,Mid-American,2,79.64454735948655,133,-31.900356445150496
Temple,American Athletic,2,76.56121844147408,134,-32.3154062430874
