id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
401856772,2026,1,true,Tulsa,fbs,24,Oklahoma State,fbs,10,-14,Tulsa,13.5,410,-550,-5.44174729110247,8.55825270889753,27.5,73.24368942935192,756.25,1,0,1,1
401856772,2026,1,true,Tulsa,fbs,24,Oklahoma State,fbs,10,-14,Tulsa,13.5,,,-5.44174729110247,8.55825270889753,27.5,73.24368942935192,756.25,1,0,1,1
401856772,2026,1,true,Tulsa,fbs,24,Oklahoma State,fbs,10,-14,Tulsa,13.0,390,-550,-5.44174729110247,8.55825270889753,27.0,73.24368942935192,729.0,1,0,1,1
401858426,2026,1,true,Iowa,fbs,40,Northern Illinois,fbs,0,-40,Iowa,-32.0,-100000,4500,-24.885746773713397,15.114253226286603,8.0,228.440650588315,64.0,1,1,0,0
401858426,2026,1,true,Iowa,fbs,40,Northern Illinois,fbs,0,-40,Iowa,-31.5,,,-24.885746773713397,15.114253226286603,8.5,228.440650588315,72.25,1,1,0,0
401858426,2026,1,true,Iowa,fbs,40,Northern Illinois,fbs,0,-40,Iowa,-31.5,-10000,3000,-24.885746773713397,15.114253226286603,8.5,228.440650588315,72.25,1,1,0,0
401860878,2026,1,true,Colorado State,fbs,35,Wyoming,fbs,13,-22,Colorado State,-2.5,-142,120,-6.077602983948392,15.922397016051608,19.5,253.52272673676916,380.25,1,1,1,1
401860878,2026,1,true,Colorado State,fbs,35,Wyoming,fbs,13,-22,Colorado State,-2.5,,,-6.077602983948392,15.922397016051608,19.5,253.52272673676916,380.25,1,1,1,1
401860878,2026,1,true,Colorado State,fbs,35,Wyoming,fbs,13,-22,Colorado State,-3.0,-180,155,-6.077602983948392,15.922397016051608,19.0,253.52272673676916,361.0,1,1,1,1
401862695,2026,1,true,Memphis,fbs,42,Arkansas State,fbs,24,-18,Memphis,-10.5,-340,270,-28.62447611842937,10.62447611842937,7.5,112.87949279107603,56.25,1,1,1,0
401862695,2026,1,true,Memphis,fbs,42,Arkansas State,fbs,24,-18,Memphis,-10.5,-395,310,-28.62447611842937,10.62447611842937,7.5,112.87949279107603,56.25,1,1,1,0
401862695,2026,1,true,Memphis,fbs,42,Arkansas State,fbs,24,-18,Memphis,-10.5,,,-28.62447611842937,10.62447611842937,7.5,112.87949279107603,56.25,1,1,1,0
401856668,2026,1,true,Texas A&M,fbs,50,Missouri State,fbs,0,-50,Texas A&M,-39.166666666666664,,,-37.23550912925908,12.764490870740921,10.833333333333336,162.9322271892283,117.36111111111116,1,1,0,0
