# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = CFBVoP_WinProb_model
# start_datetime = 2026-09-17 19:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 2500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/sapj88b0.json
# init = 2 (Default)
# random
#   seed = 802
# output
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/CFBVoP_WinProbfx96ckxl/CFBVoP_WinProb-20260917150155_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=CFBVoP_WinProb.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_score
# Adaptation terminated
# Step size = 0.47426
# Diagonal elements of inverse mass matrix:
# 0.00613167, 5.66935e-05
-1227.7043,0.99808932,0.47426027,4,15,0,1228.6538,0.087764208,0.089304137
-1228.1974,0.99468447,0.47426027,2,3,0,1228.3018,0.054311386,0.09010776
-1228.1184,0.89644871,0.47426027,2,3,0,1228.8243,0.10848561,0.090784165
-1227.6145,0.99869973,0.47426027,2,3,0,1228.436,0.078570016,0.083190695
-1226.9089,0.94417845,0.47426027,2,7,0,1228.4114,0.22336115,0.080520384
-1227.0887,0.99212545,0.47426027,2,7,0,1227.6246,0.1117896,0.080327944
-1227.4435,0.95108692,0.47426027,3,7,0,1227.8507,0.14298694,0.08754067
-1227.1994,1,0.47426027,1,1,0,1227.4938,0.14765689,0.086483643
-1227.4407,0.94948619,0.47426027,2,7,0,1229.1124,0.26222498,0.067495306
-1227.4407,0.25369297,0.47426027,2,3,0,1232.0766,0.26222498,0.067495306
-1227.324,0.7589015,0.47426027,2,3,0,1229.3682,0.22426384,0.069322489
-1227.1423,1,0.47426027,2,3,0,1227.4079,0.27539209,0.07555239
-1226.9631,0.9888626,0.47426027,2,7,0,1227.6781,0.16248698,0.074810226
-1227.8773,0.91220858,0.47426027,2,5,0,1229.6316,0.098472294,0.078580746
-1228.4733,0.84820362,0.47426027,1,1,0,1228.7265,0.090630736,0.077701067
-1226.4921,1,0.47426027,2,3,0,1228.2058,0.17224507,0.0819996
-1226.8376,0.86964022,0.47426027,2,7,0,1227.4186,0.14581447,0.07706606
-1227.3855,0.92201557,0.47426027,2,7,0,1228.2055,0.28751657,0.075018786
-1227.5031,0.71023573,0.47426027,2,3,0,1229.0484,0.22440028,0.06878714
-1227.1363,1,0.47426027,1,1,0,1227.5232,0.22434953,0.069927678
-1226.641,0.84836062,0.47426027,2,3,0,1228.2237,0.20710576,0.072852436
-1226.6669,0.8852657,0.47426027,2,7,0,1228.0619,0.14453434,0.078252487
-1226.6669,0.69412209,0.47426027,1,3,0,1228.7904,0.14453434,0.078252487
-1226.5386,0.94009325,0.47426027,2,3,0,1227.264,0.21841094,0.079072482
-1227.0886,0.9517213,0.47426027,2,7,0,1228.1755,0.28983372,0.070317008
-1226.7555,1,0.47426027,2,3,0,1227.2173,0.25781919,0.070894605
-1226.7404,1,0.47426027,2,3,0,1226.7706,0.25974286,0.071096797
-1226.3277,0.97797645,0.47426027,2,7,0,1227.1827,0.16925206,0.080272351
