# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = CFBVoP_WinProb_model
# start_datetime = 2026-09-17 19:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 2500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/sapj88b0.json
# init = 2 (Default)
# random
#   seed = 802
# output
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/CFBVoP_WinProbfx96ckxl/CFBVoP_WinProb-20260917150155_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=CFBVoP_WinProb.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_score
# Adaptation terminated
# Step size = 0.420159
# Diagonal elements of inverse mass matrix:
# 0.00531687, 5.01343e-05
-1226.5181,1,0.42015932,3,7,0,1226.8952,0.1405705,0.08083622
-1228.2749,0.81856944,0.42015932,2,3,0,1228.3905,0.21316295,0.085484205
-1226.6439,0.97370078,0.42015932,2,7,0,1229.0666,0.15205072,0.083644736
-1226.7386,0.94536741,0.42015932,2,7,0,1227.453,0.16881412,0.075207402
-1227.1757,0.94395114,0.42015932,4,15,0,1228.3273,0.24705203,0.079260228
-1227.4136,0.99295101,0.42015932,2,7,0,1229.2289,0.29457703,0.067638131
-1226.3607,0.98771474,0.42015932,2,7,0,1227.982,0.20965375,0.07848082
-1227.5641,0.91540955,0.42015932,2,7,0,1228.6372,0.091326569,0.080969231
-1226.5875,0.97749179,0.42015932,3,11,0,1228.6964,0.24595778,0.076067664
-1226.5672,0.98260033,0.42015932,2,7,0,1227.4118,0.15613524,0.077500811
-1226.8055,0.98455267,0.42015932,2,3,0,1226.853,0.15486442,0.076240464
-1227.7751,0.9200387,0.42015932,3,15,0,1230.0806,0.19032549,0.070150468
-1227.1837,1,0.42015932,2,7,0,1227.9076,0.21048596,0.082655279
-1229.2653,0.81525065,0.42015932,2,7,0,1229.5999,0.10721012,0.074015098
-1228.1517,1,0.42015932,1,1,0,1229.1905,0.11425494,0.075869691
-1226.6005,0.88653703,0.42015932,1,3,0,1229.8162,0.14229652,0.08330204
-1226.2901,0.99480988,0.42015932,2,7,0,1227.1477,0.18514269,0.077070911
-1226.6213,0.98523302,0.42015932,3,9,0,1227.1067,0.15043445,0.083509962
-1226.6655,0.96764665,0.42015932,2,7,0,1227.5749,0.20766177,0.072698369
-1226.2885,0.94488553,0.42015932,2,7,0,1228.4446,0.19335344,0.078946984
-1226.4044,0.9753385,0.42015932,3,11,0,1226.9629,0.15651147,0.079206564
-1226.4311,0.99631477,0.42015932,4,15,0,1226.5569,0.23594695,0.073719644
-1227.3409,0.89173051,0.42015932,3,7,0,1227.5877,0.26616631,0.077746679
-1226.7807,0.98559786,0.42015932,2,7,0,1228.319,0.145562,0.077401776
-1226.3441,0.99892351,0.42015932,2,7,0,1227.4208,0.22562842,0.074903964
-1226.3902,0.97735739,0.42015932,2,3,0,1226.5491,0.23273494,0.075576688
-1226.5316,0.99845506,0.42015932,4,15,0,1226.688,0.24855788,0.073048534
-1228.4367,0.90736151,0.42015932,3,7,0,1228.9357,0.34263552,0.070364776
-1227.3641,0.98438587,0.42015932,4,15,0,1229.274,0.23270928,0.068792424
-1226.807,1,0.42015932,3,7,0,1227.3826,0.25080016,0.077056081
-1227.3451,0.9658057,0.42015932,3,11,0,1230.4893,0.088050921,0.083303073
-1227.0977,1,0.42015932,2,3,0,1227.4169,0.11155888,0.086454213
-1227.517,0.9122608,0.42015932,2,3,0,1227.9294,0.077757462,0.084549359
-1227.0395,0.93971821,0.42015932,3,9,0,1228.6268,0.25489318,0.07778954
-1226.3618,1,0.42015932,2,7,0,1226.9259,0.21267016,0.074518858
-1226.3431,0.99725098,0.42015932,2,7,0,1226.6483,0.16980911,0.080568691
-1228.1922,0.84234635,0.42015932,2,7,0,1229.0975,0.27471806,0.079589055
-1230.2474,0.78365508,0.42015932,2,3,0,1231.2655,0.13264285,0.069918442
-1228.3614,1,0.42015932,1,1,0,1230.0458,0.13993822,0.072813429
-1228.7643,0.98973325,0.42015932,3,7,0,1228.7841,0.28163342,0.080325265
-1227.8969,0.97164565,0.42015932,3,11,0,1231.9439,0.082150431,0.080859044
-1227.5619,1,0.42015932,1,1,0,1227.9342,0.092399752,0.08080009
